Age,Annual Income ($),Work Experience,Family Size,Gender_Female,Gender_Male,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,CustomerID,Spending Score (1-100)
-1.0540893174357626,-2.09350094834918,-0.7912071318259828,0.11749743611591194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,39
-0.9837228743492631,-1.6561331190220885,-0.28116224426692865,-0.3900508840392152,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,81
-1.0189060958925127,-0.5408451542380048,-0.7912071318259828,-1.4051475243494693,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6
-0.9133564312627636,-1.1312917238295785,-1.04622957560551,-0.8975992041943422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,77
-0.6318906589167655,-1.5905279446230247,-0.5361846880464557,1.1325940764261662,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,40
-0.9485396528060133,-1.1531601152959332,-1.04622957560551,-0.8975992041943422,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,76
-0.49115777274376654,-1.743606684887507,-0.7912071318259828,-0.3900508840392152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,6
-0.9133564312627636,-0.584581937170714,-0.7912071318259828,-0.3900508840392152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,94
0.5291556520104762,-0.30029284810810447,-1.04622957560551,-0.3900508840392152,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3
-0.6670738804600153,-0.2784244566417499,-0.7912071318259828,0.11749743611591194,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,72
0.6347053166402254,-2.2684480800800166,-0.7912071318259828,-0.3900508840392152,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,14
-0.49115777274376654,-0.3877664139735228,-0.026139800487401537,0.11749743611591194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,99
0.3180563227509777,-0.6720555030361324,-1.04622957560551,0.6250457562710391,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13,15
-0.8781732097195137,-0.43150319690623196,-0.7912071318259828,-1.4051475243494693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,77
-0.42079132965726707,-2.006027382483762,-1.04622957560551,-1.4051475243494693,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,13
-0.9485396528060133,-1.3062388555604152,-0.7912071318259828,-0.8975992041943422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16,79
-0.49115777274376654,-1.787343467820216,1.248972418410234,0.6250457562710391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,35
-1.0189060958925127,-0.4752399798389411,-0.7912071318259828,1.1325940764261662,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18,66
0.1069569934914792,-1.9841589910174071,-0.7912071318259828,0.11749743611591194,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,29
-0.49115777274376654,-1.0656865494305148,-1.04622957560551,-1.4051475243494693,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,98
-0.49115777274376654,-0.3221612395744591,2.0140397497488154,-1.4051475243494693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,35
-0.842989988176264,-2.3340532544790804,-0.28116224426692865,0.11749743611591194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22,73
-0.10414233576801929,-1.5030543787576065,2.2690621935283426,-0.8975992041943422,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5
-0.6318906589167655,-0.8688710262333236,0.22888264329212557,-0.8975992041943422,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,73
0.17732343657797872,-0.9563445920987419,-0.7912071318259828,-0.3900508840392152,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,14
-0.7022571020032651,-1.2843704640940605,-0.7912071318259828,-0.3900508840392152,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,82
-0.13932555731126903,-0.9344762006323873,1.248972418410234,2.1476907167364208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27,32
-0.49115777274376654,-0.7157922859688415,-0.7912071318259828,-0.3900508840392152,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,61
-0.31524166502751777,-2.0278957739501164,-1.04622957560551,-1.4051475243494693,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,31
-0.9133564312627636,-1.9841589910174071,0.22888264329212557,0.11749743611591194,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,87
0.3884227658374772,-1.5686595531566703,-1.04622957560551,-0.3900508840392152,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4
-0.9837228743492631,-1.6780015104884431,-0.7912071318259828,-0.8975992041943422,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,73
0.14214021503472896,-1.1312917238295785,-0.7912071318259828,-0.3900508840392152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33,4
-1.0892725389790123,-1.0656865494305148,1.248972418410234,1.6401423965812933,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34,92
0.00140732886172996,-0.43150319690623196,-0.7912071318259828,-0.8975992041943422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35,14
